Brand,Title,Year,Fuel
bmw,BMW Seria 3 318Ci,2002,petrol
volkswagen,Volkswagen up! 1.0 high,2019,petrol
toyota,Toyota Yaris GR 1.6 Dynamic,2021,petrol
opel,Opel Corsa,2020,petrol
bmw,BMW Seria 5 520d xDrive M Sport sport,2017,diesel
bmw,BMW X1 sDrive16d,2019,diesel
mercedes,Mercedes-Benz Citan,2015,diesel
opel,Opel Insignia Sports Tourer 2.0 BiTurbo Diesel 4x4 Business Innovation,2020,diesel
bmw,BMW i3 120 Ah,2019,electric
audi,Audi Q3 2.0 TDI quattro S tronic sport,2017,diesel
skoda,Skoda Octavia,2019,petrol
mercedes,Mercedes-Benz Vito,2022,diesel
skoda,Skoda Fabia 1.0 Ambition,2018,petrol
mercedes,Mercedes-Benz AMG GT,2023,petrol
lexus,Lexus NX,2021,hybrid
skoda,Skoda Superb 2.0 TDI 4x4 Sportline DSG,2019,diesel
kia,Kia Sportage 1.6 T-GDI GT Line 4WD DCT,2017,petrol
mercedes,Mercedes-Benz CLK,2005,petrol
audi,Audi A5,2013,diesel
mercedes,Mercedes-Benz Klasa V 250 d lang 4Matic 9G-TRONIC Avantgarde,2018,diesel
bmw,BMW X3 xDrive20d,2008,diesel
volvo,Volvo XC 90,2016,hybrid
skoda,Skoda Superb 2.0 TDI SCR 4x4 Sportline DSG,2019,diesel
ford,Ford Mondeo,2010,diesel
mercedes,Mercedes-Benz CLA AMG 45 4-Matic,2016,petrol
mazda,Mazda 6 2.0 Sport,2010,petrol
peugeot,Peugeot 2008 1.2 PureTech Allure S&S,2023,petrol
skoda,Skoda Superb 2.0 TSI 4x4 Sportline DSG,2020,petrol
bmw,BMW 3GT 320d xDrive GT,2014,diesel
opel,Opel Grandland X 1.2 T GPF Elite S&S,2018,petrol
skoda,Skoda Superb 1.5 TSI ACT Ambition,2019,petrol
ford,Ford Focus 1.5 EcoBoost ST-Line Business,2019,petrol
hyundai,Hyundai Tucson 1.6 T-GDi Style 2WD DCT,2020,petrol
citroen,Citro\u00EBn C4 1.5 BlueHDi Feel Pack S&S EAT8,2023,diesel
opel,Opel Zafira 1.8 Active,2010,petrol
dacia,Dacia Jogger,2023,petrol
porsche,Porsche Macan S Diesel PDK,2017,diesel
peugeot,Peugeot 2008 1.2 PureTech Allure S&S,2022,petrol
